TransactionNo,Items,DateTime,Daypart,DayType,Quantity,Price
37,Coffee,30-10-2016 11:37,Morning,Weekend,5,43
37,Bread,30-10-2016 11:37,Morning,Weekend,3,35
38,Bread,30-10-2016 11:42,Morning,Weekend,5,35
38,Tea,30-10-2016 11:42,Morning,Weekend,2,39
39,Scandinavian,30-10-2016 11:44,Morning,Weekend,1,43
40,Juice,30-10-2016 11:55,Morning,Weekend,2,57
40,Tartine,30-10-2016 11:55,Morning,Weekend,2,80
40,Coffee,30-10-2016 11:55,Morning,Weekend,2,43
40,Muffin,30-10-2016 11:55,Morning,Weekend,2,71
41,Scandinavian,30-10-2016 11:57,Morning,Weekend,4,43
42,Bread,30-10-2016 11:57,Morning,Weekend,3,35
42,Tea,30-10-2016 11:57,Morning,Weekend,5,39
43,Scandinavian,30-10-2016 12:00,Afternoon,Weekend,3,43
43,Fudge,30-10-2016 12:00,Afternoon,Weekend,1,42
44,Coffee,30-10-2016 12:05,Afternoon,Weekend,2,43
44,Medialuna,30-10-2016 12:05,Afternoon,Weekend,5,37
45,Coffee,30-10-2016 12:08,Afternoon,Weekend,5,43
45,Hot chocolate,30-10-2016 12:08,Afternoon,Weekend,2,97
45,Medialuna,30-10-2016 12:08,Afternoon,Weekend,5,37
46,Coffee,30-10-2016 12:09,Afternoon,Weekend,1,43
47,Ella's Kitchen Pouches,30-10-2016 12:15,Afternoon,Weekend,2,39
47,Juice,30-10-2016 12:15,Afternoon,Weekend,5,57
47,Bread,30-10-2016 12:15,Afternoon,Weekend,5,35
47,Muffin,30-10-2016 12:15,Afternoon,Weekend,3,71
47,Jam,30-10-2016 12:15,Afternoon,Weekend,1,96
48,Coffee,30-10-2016 12:17,Afternoon,Weekend,3,43
49,Coffee,30-10-2016 12:23,Afternoon,Weekend,2,43
49,Coffee,30-10-2016 12:23,Afternoon,Weekend,2,43
49,Medialuna,30-10-2016 12:23,Afternoon,Weekend,3,37
50,Bread,30-10-2016 12:25,Afternoon,Weekend,1,35
50,Victorian Sponge,30-10-2016 12:25,Afternoon,Weekend,2,39
51,Bread,30-10-2016 12:26,Afternoon,Weekend,1,35
52,Scandinavian,30-10-2016 12:28,Afternoon,Weekend,5,43
54,Bread,30-10-2016 12:33,Afternoon,Weekend,5,35
55,Frittata,30-10-2016 12:38,Afternoon,Weekend,3,69
55,Coffee,30-10-2016 12:38,Afternoon,Weekend,1,43
55,Tea,30-10-2016 12:38,Afternoon,Weekend,4,39
55,Hearty & Seasonal,30-10-2016 12:38,Afternoon,Weekend,1,79
56,Coffee,30-10-2016 12:39,Afternoon,Weekend,2,43
56,Frittata,30-10-2016 12:39,Afternoon,Weekend,4,69
57,Scandinavian,30-10-2016 12:45,Afternoon,Weekend,3,43
58,Victorian Sponge,30-10-2016 12:59,Afternoon,Weekend,2,39
58,Hot chocolate,30-10-2016 12:59,Afternoon,Weekend,4,97
58,Tea,30-10-2016 12:59,Afternoon,Weekend,1,39
58,Soup,30-10-2016 12:59,Afternoon,Weekend,3,58
59,Tea,30-10-2016 13:02,Afternoon,Weekend,3,39
60,Cookies,30-10-2016 13:14,Afternoon,Weekend,1,72
60,Coffee,30-10-2016 13:14,Afternoon,Weekend,4,43
60,Juice,30-10-2016 13:14,Afternoon,Weekend,5,57
60,Coffee,30-10-2016 13:14,Afternoon,Weekend,1,43
61,Coffee,30-10-2016 13:15,Afternoon,Weekend,4,43
62,Pick and Mix Bowls,30-10-2016 13:24,Afternoon,Weekend,3,80
62,Hearty & Seasonal,30-10-2016 13:24,Afternoon,Weekend,1,79
62,Hearty & Seasonal,30-10-2016 13:24,Afternoon,Weekend,4,79
62,Coffee,30-10-2016 13:24,Afternoon,Weekend,2,43
62,Smoothies,30-10-2016 13:24,Afternoon,Weekend,1,99
62,Coffee,30-10-2016 13:24,Afternoon,Weekend,4,43
63,Coffee,30-10-2016 13:33,Afternoon,Weekend,4,43
64,Cake,30-10-2016 13:34,Afternoon,Weekend,2,49
65,Tartine,30-10-2016 13:37,Afternoon,Weekend,2,80
65,Mighty Protein,30-10-2016 13:37,Afternoon,Weekend,4,65
65,Tea,30-10-2016 13:37,Afternoon,Weekend,1,39
65,Coffee,30-10-2016 13:37,Afternoon,Weekend,5,43
66,Hearty & Seasonal,30-10-2016 13:40,Afternoon,Weekend,5,79
66,Frittata,30-10-2016 13:40,Afternoon,Weekend,4,69
66,Mineral water,30-10-2016 13:40,Afternoon,Weekend,3,66
67,Hearty & Seasonal,30-10-2016 13:46,Afternoon,Weekend,1,79
67,Mineral water,30-10-2016 13:46,Afternoon,Weekend,4,66
67,Muffin,30-10-2016 13:46,Afternoon,Weekend,2,71
68,Frittata,30-10-2016 13:49,Afternoon,Weekend,4,69
68,Coffee,30-10-2016 13:49,Afternoon,Weekend,3,43
68,Tea,30-10-2016 13:49,Afternoon,Weekend,3,39
68,Scandinavian,30-10-2016 13:49,Afternoon,Weekend,4,43
68,Chicken sand,30-10-2016 13:49,Afternoon,Weekend,1,33
69,Bread,30-10-2016 13:51,Afternoon,Weekend,3,35
69,Tea,30-10-2016 13:51,Afternoon,Weekend,5,39
69,Victorian Sponge,30-10-2016 13:51,Afternoon,Weekend,1,39
70,Fudge,30-10-2016 13:54,Afternoon,Weekend,5,42
71,Muffin,30-10-2016 13:56,Afternoon,Weekend,2,71
72,Coffee,30-10-2016 14:21,Afternoon,Weekend,5,43
72,Bread,30-10-2016 14:21,Afternoon,Weekend,4,35
73,Bread,30-10-2016 14:22,Afternoon,Weekend,5,35
74,Coffee,30-10-2016 14:24,Afternoon,Weekend,5,43
74,Bread,30-10-2016 14:24,Afternoon,Weekend,5,35
75,Jam,30-10-2016 14:32,Afternoon,Weekend,2,96
75,Frittata,30-10-2016 14:32,Afternoon,Weekend,1,69
76,Coffee,30-10-2016 14:32,Afternoon,Weekend,2,43
77,Scandinavian,30-10-2016 14:35,Afternoon,Weekend,4,43
78,Fudge,30-10-2016 14:42,Afternoon,Weekend,1,42
79,Fudge,30-10-2016 14:45,Afternoon,Weekend,4,42
79,Tea,30-10-2016 14:45,Afternoon,Weekend,3,39
79,Coffee,30-10-2016 14:45,Afternoon,Weekend,2,43
79,Muffin,30-10-2016 14:45,Afternoon,Weekend,5,71
80,Frittata,30-10-2016 14:48,Afternoon,Weekend,3,69
80,Bread,30-10-2016 14:48,Afternoon,Weekend,1,35
80,Coffee,30-10-2016 14:48,Afternoon,Weekend,4,43
81,Coffee,31-10-2016 08:28,Morning,Weekday,1,43
81,Cake,31-10-2016 08:28,Morning,Weekday,2,49
82,Tartine,31-10-2016 08:47,Morning,Weekday,3,80
82,Bread,31-10-2016 08:47,Morning,Weekday,3,35
83,Coffee,31-10-2016 08:57,Morning,Weekday,3,43
83,Bread,31-10-2016 08:57,Morning,Weekday,1,35
84,Bread,31-10-2016 09:04,Morning,Weekday,5,35
85,Coffee,31-10-2016 09:10,Morning,Weekday,4,43
85,Coffee,31-10-2016 09:10,Morning,Weekday,1,43
85,Pastry,31-10-2016 09:10,Morning,Weekday,4,54
85,Medialuna,31-10-2016 09:10,Morning,Weekday,5,37
86,Juice,31-10-2016 09:11,Morning,Weekday,5,57
87,Bread,31-10-2016 09:12,Morning,Weekday,2,35
88,Coffee,31-10-2016 09:16,Morning,Weekday,1,43
88,Coffee,31-10-2016 09:16,Morning,Weekday,2,43
88,Jam,31-10-2016 09:16,Morning,Weekday,5,96
89,Bread,31-10-2016 09:19,Morning,Weekday,1,35
90,Bread,31-10-2016 09:20,Morning,Weekday,4,35
90,Coffee,31-10-2016 09:20,Morning,Weekday,3,43
91,Tea,31-10-2016 09:22,Morning,Weekday,2,39
92,Coffee,31-10-2016 09:27,Morning,Weekday,4,43
93,Bread,31-10-2016 09:29,Morning,Weekday,4,35
93,Coke,31-10-2016 09:29,Morning,Weekday,1,65
94,Coffee,31-10-2016 09:39,Morning,Weekday,1,43
94,Coffee,31-10-2016 09:39,Morning,Weekday,5,43
95,Tea,31-10-2016 09:43,Morning,Weekday,1,39
95,Pastry,31-10-2016 09:43,Morning,Weekday,3,54
95,Farm House,31-10-2016 09:43,Morning,Weekday,2,52
96,Pastry,31-10-2016 09:46,Morning,Weekday,1,54
96,Pastry,31-10-2016 09:46,Morning,Weekday,1,54
96,Coffee,31-10-2016 09:46,Morning,Weekday,3,43
96,Juice,31-10-2016 09:46,Morning,Weekday,1,57
97,Coffee,31-10-2016 09:51,Morning,Weekday,2,43
97,Pastry,31-10-2016 09:51,Morning,Weekday,3,54
97,Juice,31-10-2016 09:51,Morning,Weekday,2,57
98,Farm House,31-10-2016 09:52,Morning,Weekday,3,52
99,Pastry,31-10-2016 09:56,Morning,Weekday,5,54
99,Pastry,31-10-2016 09:56,Morning,Weekday,4,54
99,Coffee,31-10-2016 09:56,Morning,Weekday,1,43
99,Bread,31-10-2016 09:56,Morning,Weekday,3,35
100,Bread,31-10-2016 09:58,Morning,Weekday,3,35
101,Coffee,31-10-2016 10:04,Morning,Weekday,3,43
101,Pastry,31-10-2016 10:04,Morning,Weekday,1,54
102,Farm House,31-10-2016 10:04,Morning,Weekday,5,52
103,Bread,31-10-2016 10:07,Morning,Weekday,3,35
104,Coffee,31-10-2016 10:12,Morning,Weekday,2,43
104,Coffee,31-10-2016 10:12,Morning,Weekday,1,43
104,Medialuna,31-10-2016 10:12,Morning,Weekday,4,37
104,Muffin,31-10-2016 10:12,Morning,Weekday,4,71
104,Coffee,31-10-2016 10:12,Morning,Weekday,4,43
105,Coffee,31-10-2016 10:21,Morning,Weekday,4,43
105,Tea,31-10-2016 10:21,Morning,Weekday,5,39
105,Cake,31-10-2016 10:21,Morning,Weekday,3,49
106,Coffee,31-10-2016 10:24,Morning,Weekday,5,43
106,Coffee,31-10-2016 10:24,Morning,Weekday,4,43
106,Pastry,31-10-2016 10:24,Morning,Weekday,1,54
106,Pastry,31-10-2016 10:24,Morning,Weekday,5,54
107,Coffee,31-10-2016 10:27,Morning,Weekday,2,43
107,Tea,31-10-2016 10:27,Morning,Weekday,2,39
108,Farm House,31-10-2016 10:31,Morning,Weekday,4,52
108,Muffin,31-10-2016 10:31,Morning,Weekday,3,71
109,Bread,31-10-2016 10:35,Morning,Weekday,4,35
109,Muffin,31-10-2016 10:35,Morning,Weekday,4,71
109,Pastry,31-10-2016 10:35,Morning,Weekday,2,54
110,Pastry,31-10-2016 10:36,Morning,Weekday,3,54
111,Coffee,31-10-2016 10:38,Morning,Weekday,1,43
112,Coffee,31-10-2016 10:59,Morning,Weekday,3,43
113,Coffee,31-10-2016 11:02,Morning,Weekday,1,43
113,Cake,31-10-2016 11:02,Morning,Weekday,1,49
114,Farm House,31-10-2016 11:05,Morning,Weekday,1,52
115,Bread,31-10-2016 11:08,Morning,Weekday,4,35
116,Coffee,31-10-2016 11:11,Morning,Weekday,4,43
117,Cookies,31-10-2016 11:13,Morning,Weekday,5,72
117,Cake,31-10-2016 11:13,Morning,Weekday,5,49
117,Coffee,31-10-2016 11:13,Morning,Weekday,4,43
117,My-5 Fruit Shoot,31-10-2016 11:13,Morning,Weekday,4,97
118,Cookies,31-10-2016 11:18,Morning,Weekday,4,72
118,Cookies,31-10-2016 11:18,Morning,Weekday,3,72
118,Tea,31-10-2016 11:18,Morning,Weekday,5,39
118,Pastry,31-10-2016 11:18,Morning,Weekday,2,54
119,Coffee,31-10-2016 11:25,Morning,Weekday,3,43
119,Coffee,31-10-2016 11:25,Morning,Weekday,5,43
119,Muffin,31-10-2016 11:25,Morning,Weekday,2,71
120,Farm House,31-10-2016 11:29,Morning,Weekday,5,52
121,Coffee,31-10-2016 11:30,Morning,Weekday,2,43
121,Bread,31-10-2016 11:30,Morning,Weekday,4,35
122,Cookies,31-10-2016 11:37,Morning,Weekday,2,72
123,Jam,31-10-2016 11:42,Morning,Weekday,3,96
123,Coffee,31-10-2016 11:42,Morning,Weekday,2,43
123,Coffee,31-10-2016 11:42,Morning,Weekday,1,43
123,Juice,31-10-2016 11:42,Morning,Weekday,3,57
124,Coffee,31-10-2016 11:43,Morning,Weekday,4,43
124,Soup,31-10-2016 11:43,Morning,Weekday,1,58
125,Tea,31-10-2016 11:47,Morning,Weekday,4,39
126,Coffee,31-10-2016 11:52,Morning,Weekday,3,43
126,Jam,31-10-2016 11:52,Morning,Weekday,2,96
127,Farm House,31-10-2016 11:53,Morning,Weekday,3,52
128,Tartine,31-10-2016 11:55,Morning,Weekday,1,80
128,Coffee,31-10-2016 11:55,Morning,Weekday,4,43
128,Tea,31-10-2016 11:55,Morning,Weekday,2,39
129,Coffee,31-10-2016 11:59,Morning,Weekday,4,43
129,Coffee,31-10-2016 11:59,Morning,Weekday,3,43
129,Cake,31-10-2016 11:59,Morning,Weekday,2,49
130,Coffee,31-10-2016 12:03,Afternoon,Weekday,5,43
130,Coffee,31-10-2016 12:03,Afternoon,Weekday,2,43
130,Muffin,31-10-2016 12:03,Afternoon,Weekday,1,71
131,Bread,31-10-2016 12:08,Afternoon,Weekday,2,35
131,Coffee,31-10-2016 12:08,Afternoon,Weekday,3,43
132,Tea,31-10-2016 12:14,Afternoon,Weekday,5,39
132,Juice,31-10-2016 12:14,Afternoon,Weekday,4,57
132,Pick and Mix Bowls,31-10-2016 12:14,Afternoon,Weekday,4,80
132,Cookies,31-10-2016 12:14,Afternoon,Weekday,4,72
133,Hearty & Seasonal,31-10-2016 12:16,Afternoon,Weekday,3,79
133,Soup,31-10-2016 12:16,Afternoon,Weekday,5,58
134,Hearty & Seasonal,31-10-2016 12:19,Afternoon,Weekday,5,79
134,Tea,31-10-2016 12:19,Afternoon,Weekday,2,39
134,Farm House,31-10-2016 12:19,Afternoon,Weekday,3,52
135,Bread,31-10-2016 12:20,Afternoon,Weekday,3,35
136,Tea,31-10-2016 12:27,Afternoon,Weekday,1,39
136,Soup,31-10-2016 12:27,Afternoon,Weekday,4,58
137,Farm House,31-10-2016 12:37,Afternoon,Weekday,4,52
138,Soup,31-10-2016 12:43,Afternoon,Weekday,1,58
138,Hearty & Seasonal,31-10-2016 12:43,Afternoon,Weekday,2,79
138,Coffee,31-10-2016 12:43,Afternoon,Weekday,5,43
139,Bread,31-10-2016 12:50,Afternoon,Weekday,5,35
139,Muffin,31-10-2016 12:50,Afternoon,Weekday,5,71
139,Hearty & Seasonal,31-10-2016 12:50,Afternoon,Weekday,5,79
140,Coffee,31-10-2016 12:53,Afternoon,Weekday,4,43
140,Coffee,31-10-2016 12:53,Afternoon,Weekday,2,43
140,Cookies,31-10-2016 12:53,Afternoon,Weekday,2,72
141,Bread,31-10-2016 12:54,Afternoon,Weekday,2,35
142,Tea,31-10-2016 12:56,Afternoon,Weekday,2,39
142,Muffin,31-10-2016 12:56,Afternoon,Weekday,4,71
143,Tea,31-10-2016 12:59,Afternoon,Weekday,4,39
144,Soup,31-10-2016 13:02,Afternoon,Weekday,3,58
144,Hearty & Seasonal,31-10-2016 13:02,Afternoon,Weekday,2,79
145,Coffee,31-10-2016 13:05,Afternoon,Weekday,2,43
145,Tea,31-10-2016 13:05,Afternoon,Weekday,5,39
145,Focaccia,31-10-2016 13:05,Afternoon,Weekday,4,32
146,Sandwich,31-10-2016 13:08,Afternoon,Weekday,3,39
147,Tartine,31-10-2016 13:09,Afternoon,Weekday,4,80
147,Coffee,31-10-2016 13:09,Afternoon,Weekday,2,43
148,Fudge,31-10-2016 13:21,Afternoon,Weekday,4,42
148,Coffee,31-10-2016 13:21,Afternoon,Weekday,5,43
148,Coffee,31-10-2016 13:21,Afternoon,Weekday,5,43
149,Coffee,31-10-2016 13:26,Afternoon,Weekday,2,43
150,Bread,31-10-2016 13:31,Afternoon,Weekday,5,35
151,Coke,31-10-2016 13:50,Afternoon,Weekday,3,65
151,Soup,31-10-2016 13:50,Afternoon,Weekday,3,58
152,Muffin,31-10-2016 13:51,Afternoon,Weekday,4,71
153,Tea,31-10-2016 13:55,Afternoon,Weekday,1,39
153,Coffee,31-10-2016 13:55,Afternoon,Weekday,5,43
153,Cookies,31-10-2016 13:55,Afternoon,Weekday,2,72
153,Muffin,31-10-2016 13:55,Afternoon,Weekday,1,71
154,Mighty Protein,31-10-2016 14:00,Afternoon,Weekday,4,65
154,Hearty & Seasonal,31-10-2016 14:00,Afternoon,Weekday,1,79
154,Coffee,31-10-2016 14:00,Afternoon,Weekday,4,43
154,Coke,31-10-2016 14:00,Afternoon,Weekday,4,65
155,Tea,31-10-2016 14:01,Afternoon,Weekday,5,39
155,Muffin,31-10-2016 14:01,Afternoon,Weekday,4,71
155,Sandwich,31-10-2016 14:01,Afternoon,Weekday,2,39
156,Coffee,31-10-2016 14:04,Afternoon,Weekday,1,43
156,Muffin,31-10-2016 14:04,Afternoon,Weekday,3,71
157,Coffee,31-10-2016 14:05,Afternoon,Weekday,1,43
157,Bread,31-10-2016 14:05,Afternoon,Weekday,5,35
158,Coffee,31-10-2016 14:20,Afternoon,Weekday,5,43
158,Muffin,31-10-2016 14:20,Afternoon,Weekday,3,71
159,Bread,31-10-2016 14:22,Afternoon,Weekday,2,35
159,Hot chocolate,31-10-2016 14:22,Afternoon,Weekday,1,97
159,Cookies,31-10-2016 14:22,Afternoon,Weekday,2,72
160,Mineral water,31-10-2016 14:35,Afternoon,Weekday,2,66
160,Muffin,31-10-2016 14:35,Afternoon,Weekday,1,71
161,Tea,31-10-2016 14:42,Afternoon,Weekday,1,39
162,Muffin,31-10-2016 14:44,Afternoon,Weekday,5,71
163,Coffee,31-10-2016 14:47,Afternoon,Weekday,1,43
163,Juice,31-10-2016 14:47,Afternoon,Weekday,3,57
164,Coffee,31-10-2016 14:47,Afternoon,Weekday,5,43
164,Muffin,31-10-2016 14:47,Afternoon,Weekday,2,71
165,Tea,31-10-2016 14:48,Afternoon,Weekday,5,39
166,Coffee,31-10-2016 14:49,Afternoon,Weekday,1,43
166,Muffin,31-10-2016 14:49,Afternoon,Weekday,4,71
167,Sandwich,31-10-2016 14:50,Afternoon,Weekday,4,39
167,Hearty & Seasonal,31-10-2016 14:50,Afternoon,Weekday,1,79
167,Bread,31-10-2016 14:50,Afternoon,Weekday,3,35
167,Mineral water,31-10-2016 14:50,Afternoon,Weekday,1,66
168,Tea,31-10-2016 14:56,Afternoon,Weekday,5,39
168,Coffee,31-10-2016 14:56,Afternoon,Weekday,4,43
169,Mineral water,31-10-2016 15:05,Afternoon,Weekday,4,66
170,Coffee,31-10-2016 15:16,Afternoon,Weekday,1,43
171,Soup,31-10-2016 15:20,Afternoon,Weekday,4,58
171,Tea,31-10-2016 15:20,Afternoon,Weekday,3,39
172,Bread,31-10-2016 17:06,Evening,Weekday,5,35
172,Coffee,31-10-2016 17:06,Evening,Weekday,5,43
173,Bread,31-10-2016 17:08,Evening,Weekday,5,35
173,Muffin,31-10-2016 17:08,Evening,Weekday,3,71
174,Coffee,31-10-2016 17:40,Evening,Weekday,3,43
175,Bread,31-10-2016 17:49,Evening,Weekday,2,35
176,Cookies,31-10-2016 18:22,Evening,Weekday,5,72
176,Coffee,31-10-2016 18:22,Evening,Weekday,2,43
178,Coffee,11-01-2016 07:51,Morning,Weekday,3,43
178,Pastry,11-01-2016 07:51,Morning,Weekday,5,54
179,Coffee,11-01-2016 08:20,Morning,Weekday,5,43
179,Pastry,11-01-2016 08:20,Morning,Weekday,3,54
180,Jam,11-01-2016 08:22,Morning,Weekday,1,96
180,Tea,11-01-2016 08:22,Morning,Weekday,1,39
181,Tea,11-01-2016 08:45,Morning,Weekday,4,39
181,Tea,11-01-2016 08:45,Morning,Weekday,3,39
182,Pastry,11-01-2016 09:07,Morning,Weekday,2,54
182,Pastry,11-01-2016 09:07,Morning,Weekday,5,54
182,Ella's Kitchen Pouches,11-01-2016 09:07,Morning,Weekday,5,39
183,Pastry,11-01-2016 09:09,Morning,Weekday,5,54
184,Farm House,11-01-2016 09:26,Morning,Weekday,4,52
184,Tea,11-01-2016 09:26,Morning,Weekday,3,39
185,Tea,11-01-2016 09:29,Morning,Weekday,2,39
185,Victorian Sponge,11-01-2016 09:29,Morning,Weekday,5,39
186,Tea,11-01-2016 09:43,Morning,Weekday,2,39
186,Pastry,11-01-2016 09:43,Morning,Weekday,2,54
187,Bread,11-01-2016 10:02,Morning,Weekday,2,35
188,Coffee,11-01-2016 10:04,Morning,Weekday,1,43
189,Bread,11-01-2016 10:29,Morning,Weekday,3,35
189,Coffee,11-01-2016 10:29,Morning,Weekday,2,43
190,Coffee,11-01-2016 10:34,Morning,Weekday,1,43
190,Pastry,11-01-2016 10:34,Morning,Weekday,2,54
190,Pastry,11-01-2016 10:34,Morning,Weekday,4,54
191,Soup,11-01-2016 10:50,Morning,Weekday,2,58
191,Tea,11-01-2016 10:50,Morning,Weekday,1,39
192,Bread,11-01-2016 10:56,Morning,Weekday,4,35
193,Coffee,11-01-2016 11:00,Morning,Weekday,1,43
194,Bread,11-01-2016 11:04,Morning,Weekday,4,35
194,Bread,11-01-2016 11:04,Morning,Weekday,5,35
195,Bread,11-01-2016 11:06,Morning,Weekday,2,35
195,Scandinavian,11-01-2016 11:06,Morning,Weekday,3,43
196,Bread,11-01-2016 11:08,Morning,Weekday,2,35
196,Cake,11-01-2016 11:08,Morning,Weekday,1,49
196,Cookies,11-01-2016 11:08,Morning,Weekday,1,72
197,Coffee,11-01-2016 11:10,Morning,Weekday,1,43
197,Coffee,11-01-2016 11:10,Morning,Weekday,5,43
197,Tea,11-01-2016 11:10,Morning,Weekday,1,39
198,Coffee,11-01-2016 11:11,Morning,Weekday,5,43
198,Cookies,11-01-2016 11:11,Morning,Weekday,2,72
199,Coffee,11-01-2016 11:13,Morning,Weekday,4,43
200,Bread,11-01-2016 11:16,Morning,Weekday,5,35
201,Coffee,11-01-2016 11:22,Morning,Weekday,5,43
201,Pastry,11-01-2016 11:22,Morning,Weekday,4,54
202,Coffee,11-01-2016 11:23,Morning,Weekday,4,43
202,Coffee,11-01-2016 11:23,Morning,Weekday,1,43
203,Coffee,11-01-2016 11:25,Morning,Weekday,1,43
204,Scandinavian,11-01-2016 11:30,Morning,Weekday,3,43
204,Bread,11-01-2016 11:30,Morning,Weekday,4,35
205,Coffee,11-01-2016 11:49,Morning,Weekday,2,43
205,Coffee,11-01-2016 11:49,Morning,Weekday,2,43
205,Pastry,11-01-2016 11:49,Morning,Weekday,5,54
206,Scandinavian,11-01-2016 11:54,Morning,Weekday,5,43
206,Coffee,11-01-2016 11:54,Morning,Weekday,2,43
206,Pastry,11-01-2016 11:54,Morning,Weekday,4,54
207,Hearty & Seasonal,11-01-2016 12:03,Afternoon,Weekday,5,79
207,Coffee,11-01-2016 12:03,Afternoon,Weekday,5,43
207,Muffin,11-01-2016 12:03,Afternoon,Weekday,5,71
208,Bread,11-01-2016 12:10,Afternoon,Weekday,3,35
209,Coffee,11-01-2016 12:10,Afternoon,Weekday,2,43
210,Scandinavian,11-01-2016 12:12,Afternoon,Weekday,4,43
211,Soup,11-01-2016 12:15,Afternoon,Weekday,2,58
211,Coffee,11-01-2016 12:15,Afternoon,Weekday,1,43
212,Coffee,11-01-2016 12:20,Afternoon,Weekday,4,43
212,Cookies,11-01-2016 12:20,Afternoon,Weekday,3,72
